x,y,yaw,km,kf
15.0,4.0,-0.2182,0.0111,0.1543
18.0,4.0,-0.2182,0.01,0.1148
21.0,4.0,-0.2182,0.0089,0.0899
3.0,6.0,-0.2182,0.0022,0.4484
6.0,6.0,-0.2182,0.0058,0.4484
9.0,6.0,-0.2182,0.008,0.4484
12.0,6.0,-0.2182,0.0087,0.3014
15.0,6.0,-0.2182,0.0086,0.2039
18.0,6.0,-0.2182,0.0082,0.1492
21.0,6.0,-0.2182,0.0077,0.1153
3.0,8.0,-0.2182,0.001,0.4484
6.0,8.0,-0.2182,0.0031,0.4484
9.0,8.0,-0.2182,0.0049,0.4484
12.0,8.0,-0.2182,0.006,0.379
15.0,8.0,-0.2182,0.0065,0.2535
18.0,8.0,-0.2182,0.0066,0.1837
21.0,8.0,-0.2182,0.0064,0.1406
3.0,10.0,-0.2182,0.0005,0.4484
6.0,10.0,-0.2182,0.0018,0.4484
9.0,10.0,-0.2182,0.0031,0.4484
12.0,10.0,-0.2182,0.0042,0.4484
15.0,10.0,-0.2182,0.0048,0.3032
18.0,10.0,-0.2182,0.0051,0.2182
21.0,10.0,-0.2182,0.0053,0.1659
3.0,-10.0,0.0,0.0,0.4484
6.0,-10.0,0.0,0.0,0.4484
9.0,-10.0,0.0,0.0,0.4484
12.0,-10.0,0.0,0.0,0.4167
15.0,-10.0,0.0,0.0,0.2667
18.0,-10.0,0.0,0.0,0.1852
21.0,-10.0,0.0,0.0,0.1361
3.0,-8.0,0.0,0.0,0.4484
6.0,-8.0,0.0,0.0,0.4484
9.0,-8.0,0.0,0.0,0.4484
12.0,-8.0,0.0,0.0,0.3333
15.0,-8.0,0.0,0.0,0.2133
18.0,-8.0,0.0,0.0,0.1481
21.0,-8.0,-0.0,0.0,0.1088
3.0,-6.0,0.0,0.0,0.4484
6.0,-6.0,0.0,0.0,0.4484
9.0,-6.0,0.0,0.0,0.4444
12.0,-6.0,0.0,0.0,0.25
15.0,-6.0,0.0,0.0,0.16
18.0,-6.0,0.0,0.0,0.1111
21.0,-6.0,0.0,0.0,0.0816
3.0,-4.0,0.0,0.0,0.4484
6.0,-4.0,0.0,0.0,0.4484
9.0,-4.0,0.0,0.0,0.2963
