x,y,yaw,km,kf
1.0,0.0,0.0,0.0,0.0
3.0,-10.0,-0.4363,0.0002,0.4484
6.0,-10.0,-0.4363,0.0028,0.4484
9.0,-10.0,-0.4363,0.0063,0.3972
12.0,-10.0,-0.4363,0.0094,0.1945
15.0,-10.0,-0.4363,0.0115,0.1059
18.0,-10.0,-0.4363,0.0127,0.0607
21.0,-10.0,-0.4363,0.0131,0.0352
3.0,-8.0,-0.4363,0.0009,0.4484
6.0,-8.0,-0.4363,0.0057,0.4484
9.0,-8.0,-0.4363,0.0109,0.2869
12.0,-8.0,-0.4363,0.0144,0.1324
15.0,-8.0,-0.4363,0.016,0.0662
18.0,-8.0,-0.4363,0.0164,0.0331
21.0,-8.0,-0.4363,0.016,0.0149
3.0,-6.0,-0.4363,0.0029,0.4484
6.0,-6.0,-0.4363,0.0124,0.4484
9.0,-6.0,-0.4363,0.0192,0.1766
12.0,-6.0,-0.4363,0.0217,0.0704
15.0,-6.0,-0.4363,0.0216,0.0265
18.0,-6.0,-0.4363,0.0204,0.0056
21.0,-6.0,-0.4363,0.019,0.0054
3.0,-4.0,-0.4363,0.0113,0.4484
6.0,-4.0,-0.4363,0.0288,0.2649
9.0,-4.0,-0.4363,0.0327,0.0663
12.0,-4.0,-0.4363,0.0307,0.0084
15.0,-4.0,-0.4363,0.0273,0.0132
18.0,-4.0,-0.4363,0.0242,0.022
21.0,-4.0,-0.4363,0.0215,0.0256
3.0,-2.0,-0.4363,0.0576,0.4484
6.0,-2.0,-0.4363,0.0613,0.0167
9.0,-2.0,-0.4363,0.0484,0.044
12.0,-2.0,-0.4363,0.0384,0.0537
15.0,-2.0,-0.4363,0.0315,0.0529
18.0,-2.0,-0.4363,0.0266,0.0496
21.0,-2.0,-0.4363,0.023,0.0459
3.0,0.0,-0.4363,0.1619,0.4484
6.0,0.0,-0.4363,0.081,0.2314
9.0,0.0,-0.4363,0.054,0.1543
12.0,0.0,-0.4363,0.0405,0.1157
15.0,0.0,-0.4363,0.0324,0.0926
18.0,0.0,-0.4363,0.027,0.0771
21.0,0.0,-0.4363,0.0231,0.0661
3.0,2.0,-0.4363,0.0575,0.4484
6.0,2.0,-0.4363,0.0554,0.4484
9.0,2.0,-0.4363,0.0442,0.2646
12.0,2.0,-0.4363,0.0357,0.1777
15.0,2.0,-0.4363,0.0297,0.1323
18.0,2.0,-0.4363,0.0253,0.1047
21.0,2.0,-0.4363,0.022,0.0864
3.0,4.0,-0.4363,0.0172,0.4484
6.0,4.0,-0.4363,0.0288,0.4484
9.0,4.0,-0.4363,0.03,0.3749
12.0,4.0,-0.4363,0.0277,0.2398
15.0,4.0,-0.4363,0.0248,0.172
18.0,4.0,-0.4363,0.0221,0.1323
21.0,4.0,-0.4363,0.0198,0.1066
3.0,6.0,-0.4363,0.0071,0.4484
6.0,6.0,-0.4363,0.0151,0.4484
9.0,6.0,-0.4363,0.0192,0.4484
12.0,6.0,-0.4363,0.0202,0.3018
15.0,6.0,-0.4363,0.0196,0.2117
18.0,6.0,-0.4363,0.0185,0.1599
21.0,6.0,-0.4363,0.0172,0.1269
3.0,8.0,-0.4363,0.0036,0.4484
6.0,8.0,-0.4363,0.0086,0.4484
9.0,8.0,-0.4363,0.0124,0.4484
12.0,8.0,-0.4363,0.0144,0.3639
15.0,8.0,-0.4363,0.0151,0.2514
18.0,8.0,-0.4363,0.015,0.1874
21.0,8.0,-0.4363,0.0145,0.1471
3.0,10.0,-0.4363,0.0021,0.4484
6.0,10.0,-0.4363,0.0053,0.4484
9.0,10.0,-0.4363,0.0083,0.4484
12.0,10.0,-0.4363,0.0103,0.4259
15.0,10.0,-0.4363,0.0115,0.2911
18.0,10.0,-0.4363,0.012,0.215
21.0,10.0,-0.4363,0.0121,0.1674
3.0,-10.0,-0.2182,0.0004,0.4484
